refFile;testFile;Mos;height;width
G1AbandonedKingdom_7680x3840_fps30;G1AbandonedKingdom_ERP_7680x3840_fps30_qp27_45406k;;3840;7680
G1AbandonedKingdom_7680x3840_fps30;G1AbandonedKingdom_ERP_7680x3840_fps30_qp37_9283k;;3840;7680
G1AbandonedKingdom_7680x3840_fps30;G1AbandonedKingdom_ERP_7680x3840_fps30_qp42_4140k;;3840;7680
G1AbandonedKingdom_7680x3840_fps30;G1AbandonedKingdom_TSP_7680x3840_fps30_qp27_32650k;;3840;7680
G1AbandonedKingdom_7680x3840_fps30;G1AbandonedKingdom_TSP_7680x3840_fps30_qp37_6374k;;3840;7680
G1AbandonedKingdom_7680x3840_fps30;G1AbandonedKingdom_TSP_7680x3840_fps30_qp42_2878k;;3840;7680
G1Aerial_7680x3840_fps25;G1Aerial_ERP_7680x3840_fps25_qp27_18646k;;3840;7680
G1Aerial_7680x3840_fps25;G1Aerial_ERP_7680x3840_fps25_qp37_3307k;;3840;7680
G1Aerial_7680x3840_fps25;G1Aerial_ERP_7680x3840_fps25_qp42_1216k;;3840;7680
G1Aerial_7680x3840_fps25;G1Aerial_TSP_7680x3840_fps25_qp27_16904k;;3840;7680
G1Aerial_7680x3840_fps25;G1Aerial_TSP_7680x3840_fps25_qp37_2794k;;3840;7680
G1Aerial_7680x3840_fps25;G1Aerial_TSP_7680x3840_fps25_qp42_1039k;;3840;7680
G1BajaCalifonia_3840x2160_fps23.976;G1BajaCalifonia_ERP_3840x2160_fps23.976_qp27_41186k;;2160;3840
G1BajaCalifonia_3840x2160_fps23.976;G1BajaCalifonia_ERP_3840x2160_fps23.976_qp37_12633k;;2160;3840
G1BajaCalifonia_3840x2160_fps23.976;G1BajaCalifonia_ERP_3840x2160_fps23.976_qp42_5570k;;2160;3840
G1BikingToWork_3840x2160_fps23.976;G1BikingToWork_ERP_3840x2160_fps23.976_qp27_12306k;;2160;3840
G1BikingToWork_3840x2160_fps23.976;G1BikingToWork_ERP_3840x2160_fps23.976_qp37_3596k;;2160;3840
G1BikingToWork_3840x2160_fps23.976;G1BikingToWork_ERP_3840x2160_fps23.976_qp42_1855k;;2160;3840
G1LandSalt_6144x3072_fps29.97;G1LandSalt_ERP_6144x3072_fps29.97_qp27_9229k;;3072;6144
G1LandSalt_6144x3072_fps29.97;G1LandSalt_ERP_6144x3072_fps29.97_qp37_2048k;;3072;6144
G1LandSalt_6144x3072_fps29.97;G1LandSalt_ERP_6144x3072_fps29.97_qp42_880k;;3072;6144
G1LandSalt_6144x3072_fps29.97;G1LandSalt_TSP_6144x3072_fps29.97_qp27_7639k;;3072;6144
G1LandSalt_6144x3072_fps29.97;G1LandSalt_TSP_6144x3072_fps29.97_qp37_1588k;;3072;6144
G1LandSalt_6144x3072_fps29.97;G1LandSalt_TSP_6144x3072_fps29.97_qp42_715k;;3072;6144
G1LateShow_3840x2160_fps23.976;G1LateShow_ERP_3840x2160_fps23.976_qp27_11724k;;2160;3840
G1LateShow_3840x2160_fps23.976;G1LateShow_ERP_3840x2160_fps23.976_qp37_2051k;;2160;3840
G1LateShow_3840x2160_fps23.976;G1LateShow_ERP_3840x2160_fps23.976_qp42_858k;;2160;3840
